0,124,30,24,18,5,-84.1227,1134.4917,19.7422,179.2306,Ground Unit,0,0
1,285,29,22,17,3,247.0730,1859.7179,14.0840,37.8409,Ground Unit,0,0
1,169,34,29,17,3,104.4762,1912.7628,18.5467,67.2298,Sniper,1,0
0,186,34,24,18,5,-97.2615,1224.6456,35.7003,330.1608,Sniper,0,0
1,50,41,29,17,3,82.7131,1825.2848,24.5181,180.3443,Mechanic,0,0
0,42,41,24,18,5,-93.1958,1078.7449,19.7769,0.7932,Mechanic,1,0
1,289,32,29,17,3,268.6933,1883.1517,-30.0938,353.6503,Jet-Trooper,1,0
0,293,28,24,18,5,-96.9582,1224.5256,27.3004,0.6574,Jet-Trooper,0,0
1,308,31,29,17,3,207.1719,1862.8873,13.1406,329.5569,Paramedic,1,0
0,274,30,24,18,5,-78.2188,1134.1115,19.7422,148.3512,Paramedic,0,0
1,286,29,29,17,3,214.8655,1862.3583,13.1406,0.2639,Spy,0,0
0,294,30,24,18,5,-87.2162,1125.4778,19.7422,316.2995,Spy,1,0
0,125,30,24,18,5,-101.0176,1214.3169,19.9826,49.3604,Pyroman,1,0
1,287,29,22,17,3,221.9709,1863.4011,13.1406,28.1508,Pyroman,0,0
1,288,29,22,17,3,141.2385,1927.1544,19.1880,14.7008,Scout,1,0
0,224,30,24,18,5,-37.1199,1041.5880,21.8881,356.5750,Scout,1,0
0,126,30,24,18,5,-133.2726,1222.2152,22.3763,309.1163,Suicider,1,0
1,298,29,22,17,3,127.0449,1926.3138,19.1872,359.0340,Suicider,0,0
1,61,29,22,17,3,271.2771,1972.1096,17.8785,269.0071,Pilot,1,0
0,62,30,24,18,5,-139.3338,1167.9351,22.2911,359.2501,Pilot,0,0
1,305,29,22,17,3,220.6520,1973.6533,17.6406,265.0133,Recon,1,0
0,304,30,24,18,5,-65.0231,1212.4818,19.7458,144.0115,Recon,1,0
1,275,29,22,17,3,197.7720,1930.7314,17.6466,183.5459,Sentinel,0,0
0,276,30,24,18,5,-66.1386,1219.5051,19.7458,181.2986,Sentinel,1,0
0,124,30,24,18,5,-66.6117,1215.8379,19.7458,178.9183,Supporter,1,0
1,285,29,22,17,3,208.2838,1935.7108,17.6466,129.9653,Supporter,1,0
0,124,30,24,18,5,-186.2390,1037.3688,20.7110,0.4849,Kamikaze,1,0
1,285,29,22,17,3,306.6155,2052.8367,17.8785,178.2190,Kamikaze,1,0
0,124,30,24,18,5,-368.4277,1510.6144,76.3117,269.7529,Nukemaster,0,1
1,285,29,22,17,3,-298.9012,1538.7395,75.5625,135.1960,Nukemaster,0,1
